flux	loglam	ivar	and_mask	or_mask	wdisp	sky	model
222.47249	3.6124	0.03376723	0	0	0.9405384	4.323129	219.23549
193.86447	3.6125	0.040950496	0	0	0.9404074	4.3467493	189.12602
165.20856	3.6126	0.05051926	0	0	0.94027644	4.396625	163.42284
154.60814	3.6127	0.05542519	0	0	0.94014555	4.871627	151.1837
171.94308	3.6128	0.048331603	0	0	0.94001436	5.1787224	168.0925
205.40561	3.6129	0.037882566	0	0	0.93988365	4.6384797	198.012
231.14464	3.613	0.032066144	0	0	0.93975264	4.208595	225.05814
251.43245	3.6131	0.027827471	0	0	0.93962175	4.3141694	253.52513
276.38168	3.6132	0.024564803	0	0	0.9394908	4.194736	280.6262
292.87936	3.6133	0.022195553	0	0	0.9393599	3.9130764	300.27374
304.54852	3.6134	0.02084415	0	0	0.93922895	3.9246328	317.24942
319.52597	3.6135	0.019343138	0	0	0.9390981	4.259611	325.99557
327.9064	3.6136	0.018529305	0	0	0.93896735	4.6574264	345.7607
337.66812	3.6137	0.01763996	0	0	0.9388363	4.9871936	362.7356
353.28506	3.6138	0.016491422	0	0	0.93870556	4.7937226	371.56342
356.74615	3.6139	0.016158935	0	0	0.9385747	4.1447	379.87015
366.60577	3.614	0.015593475	0	0	0.93844384	4.039739	389.1842
370.31476	3.6141	0.015296569	0	0	0.93831307	4.2303934	396.77182
373.03137	3.6142	0.015057696	0	0	0.93818223	4.299991	401.10056
378.53452	3.6143	0.0147427535	0	0	0.93805146	4.3032312	405.3127
388.40277	3.6144	0.014254657	0	0	0.9379208	4.3596535	409.95465
393.14465	3.6145	0.013910821	0	0	0.93779	4.515943	413.45544
391.05365	3.6146	0.014008653	0	0	0.93765926	4.6143813	415.76605
399.81665	3.6147	0.013541287	0	0	0.93752843	4.515836	415.39148
399.14175	3.6148	0.013571606	0	0	0.93739784	4.295476	414.54367
407.46036	3.6149	0.013094124	0	0	0.9372672	4.135094	420.1532
411.8481	3.615	0.012895298	0	0	0.9371364	4.1736693	424.89453
410.10852	3.6151	0.012961724	0	0	0.9370057	4.394737	423.1448
412.31555	3.6152	0.012782006	0	0	0.93687505	4.804429	429.00494
424.99728	3.6153	0.012317898	0	0	0.9367444	5.224046	426.37717
425.483	3.6154	0.012189444	0	0	0.9366136	5.3292747	425.38138
421.27438	3.6155	0.012232039	0	0	0.936483	5.075694	430.26416
428.34344	3.6156	0.012108757	0	0	0.93635243	4.6980214	432.03976
426.79376	3.6157	0.012115056	0	0	0.93622184	4.5108767	427.3433
425.60458	3.6158	0.012277851	0	0	0.93609124	4.67231	431.607
429.16962	3.6159	0.01206487	0	0	0.93596065	4.9056325	428.75668
435.77475	3.616	0.011814692	0	0	0.9358301	5.107426	425.35483
430.15945	3.6161	0.011974583	0	0	0.9356995	5.0981483	427.02692
435.56693	3.6162	0.01175215	0	0	0.935569	5.326065	432.41714
445.52362	3.6163	0.011370077	0	0	0.93543845	5.435013	436.1491
446.75903	3.6164	0.011328747	0	0	0.9353079	5.107343	435.23056
439.86707	3.6165	0.011571505	0	0	0.9351775	4.9640927	434.6705
431.54984	3.6166	0.0119096935	0	0	0.9350469	5.487229	441.4357
433.47147	3.6167	0.007971574	0	33554432	0.93491715	5.586656	440.198
445.70978	3.6168	0.007648882	0	33554432	0.93478674	4.923853	436.59476
426.84854	3.6169	0.008080093	0	33554432	0.9346562	4.522415	439.5457
